0,fullname,id,likes,replies,retweets,text,timestamp,user,date,time,pos,neg,neu,comp
0,RoidRazer World,9.11E+17,0,0,0,I added a video to a @YouTube playlist http://youtu.be/N0TEK6buwVA?a  Ranbir Kapoor and Mahira khan are in relationship Confirmed,2017-09-21T19:33:02,Roidrazerworld,21/9/2017,19:33:02,0,0,1,0
1,Shubha,9.11E+17,1,1,0,Everyone knows what they were doing together. Ranbir has quite a reputation for it.,2017-09-21T19:33:28,AlphahuntersUAE,21/9/2017,19:33:28,0,0,1,0
2,Niraj,9.11E+17,0,0,0,haha ,2017-09-21T19:34:27,ImNirajS,21/9/2017,19:34:27,1,0,0,0.4588
3,Asad Jokhio,9.11E+17,2,0,0,@TheMahiraKhan pic.twitter.com/qqyJMFLXqn,2017-09-21T19:35:25,asadjokhio99,21/9/2017,19:35:25,0,0,1,0
4,Maha.,9.11E+17,13,0,6,"Don 3 
@iamsrk @TheMahiraKhan pic.twitter.com/eBDpKvMPxk",2017-09-21T19:35:41,MahaSRK1,21/9/2017,19:35:41,0,0,1,0
5,J,9.11E+17,0,0,0,Hahaha extremist,2017-09-21T19:35:49,iamjoogal,21/9/2017,19:35:49,0.783,0,0.217,0.5574
6,AB,9.11E+17,1,0,0,Looks like @TheMahiraKhan ?? pic.twitter.com/prNSjlOgzg,2017-09-21T19:35:51,HeyimAB,21/9/2017,19:35:51,0.417,0,0.583,0.4329
7,Google News Hindi,9.11E+17,1,0,0,"#RanbirKapoor #MahiraKhan #INDvAUS #DeepikaPadukone 

Ranbir Kapoor and Mahira khan are in relationship | Confirmed

https://youtu.be/N0TEK6buwVA pic.twitter.com/HD9WKVJctr",2017-09-21T19:36:14,GoogleNewsHndi,21/9/2017,19:36:14,0,0,1,0
8,Fatima.,9.11E+17,0,2,0,My tweet makes it about women and men because all I have been hearing and reading is Mahira Khan. Not Ranbir.,2017-09-21T19:36:20,notsocurvy,21/9/2017,19:36:20,0,0,1,0
9,Think a little bit,9.11E+17,2,0,0,"@TheMahiraKhan 
Hamarey bicharney ka saniha bhi kamal guzra

hey zakhmi ap bhi ham bhi!  pic.twitter.com/egNtCG61R7",2017-09-21T19:36:22,TheMRafi,21/9/2017,19:36:22,0,0,1,0
10,Sara fawad khan,9.11E+17,8,0,1,Mahira Why Ranbir? Are you crazy? I 'm shocked #MahiraKhan @TheMahiraKhan pic.twitter.com/jvRWSl5gXO,2017-09-21T19:36:23,fk656627,21/9/2017,19:36:23,0,0.36,0.64,-0.6199
11,DailyPakistan Global,9.11E+17,2,0,3,"Mahira Khan, Ranbir Kapoor spotted SMOKING together outside New York hotel #daily-pakistan #mahira-khan #pakistanhttp://bit.ly/2xUy2zk ",2017-09-21T19:36:40,dailypakistangl,21/9/2017,19:36:40,0,0,1,0
12,HusnainKhan,9.11E+17,0,0,0,@TheMahiraKhan Fatway lagana shuru aap py ,2017-09-21T19:36:55,husnainkhan1,21/9/2017,19:36:55,0,0,1,0
13,Fatimah khan,9.11E+17,1,1,0,But for saint like mahira khan its nbearable,2017-09-21T19:36:59,Fateemayy,21/9/2017,19:36:59,0.317,0,0.683,0.5023
14,Waseem Ahamad,9.11E+17,1,0,0,Mahira Khan’s latest bridal photo shoot is magical and it will leave you spellbo... http://indianexpress.com/article/lifestyle/fashion/mahira-khans-latest-photo-shoot-is-magical-and-it-will-leave-you-spellbound-4844028/ … |  by https://twibble.io pic.twitter.com/ORWpbzqtve,2017-09-21T19:37:12,waseemahamad972,21/9/2017,19:37:12,0,0.184,0.816,-0.3818
15,Areeb Shariff,9.11E+17,0,0,0,Why are ppl against Mahira Khan lmaoo she can do whatever she wants,2017-09-21T19:37:54,eareeb,21/9/2017,19:37:54,0,0,1,0
16,S.J,9.11E+17,0,1,0,"@TheMahiraKhan So the rumours were true then. Casanova Ranbir ka aik aur shikaar. As your fan, I'm disappointed to c this. pic.twitter.com/X6OmWyGqF5",2017-09-21T19:38:54,vmorghulis1860,21/9/2017,19:38:54,0.195,0.118,0.687,0.25
17,. Shah...!,9.11E+17,0,0,0,"#RanbirKapoor snapped with @TheMahiraKhan at NYC 
#MahiraKhan pic.twitter.com/rHcfs89b5j",2017-09-21T19:39:06,Shahtastic1,21/9/2017,19:39:06,0,0,1,0
18,Nievv,9.11E+17,1,0,0,"Mahira khan the Bitch,
Ok she is out of our society. https://twitter.com/OfficialHanzala/status/910946445607473152 …",2017-09-21T19:39:14,NievMemon,21/9/2017,19:39:14,0.138,0.237,0.625,-0.3818
19,Eleutheromaniac,9.11E+17,42,5,10,Who cares if Ranbir Kapoor is doing Mahira Khan. He has a Biopic movie coming out. Any publicity is good publicity . #Mahirakhan,2017-09-21T19:39:57,Eleutromaniac,21/9/2017,19:39:57,0.237,0,0.763,0.7096
20,Mishal SIddiqui,9.11E+17,3,2,1,Everyone has its Personal life but that's not the way you represent your country on the streets of newyork ! #itshurting @TheMahiraKhan pic.twitter.com/ndqeZlMD3g,2017-09-21T19:40:00,MishalSIddiqu12,21/9/2017,19:40:00,0,0,1,0
21,Total Gentle,9.11E+17,2,2,1,Omg... Mahira khan is somking i can't handle it yaar !,2017-09-21T19:40:22,OhhBoy_Arjun,21/9/2017,19:40:22,0,0,1,0
22,Dinithi,9.11E+17,0,1,2,Hold. The. Phone.  Are Mahira Khan and Ranbir Kapoor dating?! pic.twitter.com/Ri0IcfxgmY,2017-09-21T19:40:34,adeedoes,21/9/2017,19:40:34,0,0,1,0
23,Bilal,9.11E+17,6,0,1,lmao pakistani men and women are at it again calling mahira khan non-muslim...for smoking,2017-09-21T19:40:59,Sillly_Point,21/9/2017,19:40:59,0.231,0,0.769,0.5994
24,nervous system,9.11E+17,9,2,2,mahira khan is too hot for ranbir kapoor guys he is in her friendzone,2017-09-21T19:41:05,Abbasayy,21/9/2017,19:41:05,0,0,1,0
25,Saba,9.11E+17,1,0,0,Just wondering where did Mahira Khan mention that she's representing Islam?? Why everyone is bringing religion into this? :-/,2017-09-21T19:41:09,ssabasays,21/9/2017,19:41:09,0,0.144,0.856,-0.466
26,Feyza,9.11E+17,4,0,0,"Gerçek olsan bariii 
#RanbirKapoor #MahiraKhan pic.twitter.com/VwQOEWhPW9",2017-09-21T19:42:03,FernwehFeyz,21/9/2017,19:42:03,0,0,1,0
27,Noorulain khan I,9.11E+17,1,0,0,Everyone watching your shameless pictures with ranbir kapoor ...shame on you ...i was like you but not now image has lost @TheMahiraKhan,2017-09-21T19:42:14,9Noorulain,21/9/2017,19:42:14,0.069,0.183,0.748,-0.4404
28,Kashif,9.11E+17,1,1,0,Not that it's my place to say it but Mahira Khan with that dressing and cigarette is a Shocker!,2017-09-21T19:42:50,KashifDotAkhtar,21/9/2017,19:42:50,0,0.114,0.886,-0.2942
29,Hamza Khan,9.11E+17,1,0,0,"I know it’s her personal life & all, but this is definitely a huge hit, if not the end, of the ‘Mahira Khan’ brand as we know it. pic.twitter.com/n3QEwD5PYD",2017-09-21T19:43:29,Hamzipti,21/9/2017,19:43:29,0.213,0,0.787,0.7579
30,Farhan Rajput,9.11E+17,0,0,0,@TheMahiraKhan hawn g keh den sb muslim apko e target krty hain hm toh muslim e nae hain ap toh newyork ranbeer k sth ludo khel rae thi? pic.twitter.com/TcluAzHGTt,2017-09-21T19:43:36,farhanrajput199,21/9/2017,19:43:36,0,0,1,0
31,Noor Inam,9.11E+17,189,61,96,So the people of country who watch most porn are getting mad at the semi nude pictures of mahira khan. How hypocrite,2017-09-21T19:43:39,noorinam1,21/9/2017,19:43:39,0,0.132,0.868,-0.4939
32,Partiksha Verma,9.11E+17,0,0,0,@TheMahiraKhan mahi #ranbir @zoom @Bollyhungama @bollywood_life #spotted,2017-09-21T19:43:46,PartikshaV,21/9/2017,19:43:46,0,0,1,0
33,Suraj kumar,9.11E+17,1,0,0,@TheMahiraKhan  look it you ..you can kill any one  https://twitter.com/lovekhushi4/status/910911964024573952 …,2017-09-21T19:44:02,suraj_confused,21/9/2017,19:44:02,0,0.343,0.657,-0.6908
34,Rafia Mudasir,9.11E+17,0,0,0,@TheMahiraKhan   do you like to say anything about this madam? pic.twitter.com/I68mPb2GmI,2017-09-21T19:44:11,RafiaMudasir,21/9/2017,19:44:11,0.2,0,0.8,0.3612
35,Ehtesham Hussain.,9.11E+17,0,0,0,Hahahahaha! ,2017-09-21T19:44:19,Ehtesham300,21/9/2017,19:44:19,0,0,1,0
36,ماہٗ مِثّل,9.11E+17,11,1,0,I have more respect for @TheMahiraKhan then any other woman in this country. @ Haram Police,2017-09-21T19:44:32,7heikh,21/9/2017,19:44:32,0.207,0,0.793,0.5256
37,Prachi Das 🇮🇳,9.11E+17,3,2,0,"In the 1st pic..I thought that actress is Mahira Khan
Damn! https://twitter.com/kamaalrkhan/status/910945121280987136 …",2017-09-21T19:45:04,iPrachiDas,21/9/2017,19:45:04,0,0.214,0.786,-0.4574
38,z,9.11E+17,95,7,25,Do people think Mahira Khan is real life Khirad who only says “Ashar main aapki Khirad hoon” ????,2017-09-21T19:45:10,NurKhairDe,21/9/2017,19:45:10,0,0,1,0
39,waleed Malik,9.11E+17,0,1,0,Mahira khan js goals .eh,2017-09-21T19:45:14,Mrweedu,21/9/2017,19:45:14,0,0,1,0
40,G. Hussain,9.11E+17,0,0,0,"Lo bhai, mahira khusri hoti tou liberals ne rona tha.
Women she is tou feminists are crying.
@TheMahiraKhan banda hi ban ja",2017-09-21T19:45:39,EmirOfMecca,21/9/2017,19:45:39,0,0.251,0.749,-0.7717
41,Maryam,9.11E+17,0,1,0,That is Mahira Khan,2017-09-21T19:45:44,BefourMaryam,21/9/2017,19:45:44,0,0,1,0
42,Abdullah Tariq,9.11E+17,352,7,234,"MAHIRA KHAN IS SMOKING?!

MAHIRA KHAN IS ALWAYS SMOKIN'. pic.twitter.com/foqGmBYoTg",2017-09-21T19:46:08,abdullahtariq91,21/9/2017,19:46:08,0,0,1,0
43,Haroon,9.11E+17,3,0,0,Mahira Khan has totally disappointed me. Atleast joint tou lagati !,2017-09-21T19:46:50,ViscaHaroon,21/9/2017,19:46:50,0,0.291,0.709,-0.5697
44,z,9.11E+17,0,1,0,Mahira Khan excuse yourself pls,2017-09-21T19:46:54,NurKhairDe,21/9/2017,19:46:54,0.464,0,0.536,0.1531
45,Hammad,9.11E+17,0,1,0,"@TheMahiraKhan jst make sure whatever you tweet, you're totally calm & composed rather than emotionally charged up and then regret it later",2017-09-21T19:47:03,itshammadd,21/9/2017,19:47:03,0.185,0.174,0.642,0.0754
46,Ammad Paracha,9.11E+17,0,0,0,@TheMahiraKhan App Jesy Actors Jo Pakistani Ho ke Gandy kam krti pakri jao to boli hm nhi fake pic videos hai usa mai shots dress opsr cigrt,2017-09-21T19:47:10,Ammad_paracha1,21/9/2017,19:47:10,0,0.107,0.893,-0.4767
47,ماہٗ مِثّل,9.11E+17,6,0,0,#RanbirKapoor & #MahiraKhan have my blessings  https://twitter.com/popdiarieslive/status/910928876091588609 …,2017-09-21T19:47:26,7heikh,21/9/2017,19:47:26,0.412,0,0.588,0.5423
48,Partiksha Verma,9.11E+17,2,0,0,@TheMahiraKhan @HarshdeepKaur #zalima #celebrity,2017-09-21T19:47:40,PartikshaV,21/9/2017,19:47:40,0,0,1,0
49,shubham singh,9.11E+17,0,0,0,Bhut akal wali h.  She won't take matters stupidly.,2017-09-21T19:47:47,MS7shubham,21/9/2017,19:47:47,0.235,0.102,0.663,0.3412
50,Z.,9.11E+17,1,1,0,"Log insta pr mahira khan arhay hatho lay rhy. 
Bhai uski zindagi ha usy jeenay do.",2017-09-21T19:47:59,zubairAshraf_,21/9/2017,19:47:59,0.138,0,0.862,0.34
51,Talk Shows Central,9.11E+17,6,3,0,"#MahiraKhan and #RanbirKapoor Shocking Pictures
https://youtu.be/MfcaZgzLGqA pic.twitter.com/UryW9puGJZ",2017-09-21T19:47:59,TalkShowsPk,21/9/2017,19:47:59,0,0.31,0.69,-0.4019
52,BombayTimes,9.11E+17,297,24,50,"Ranbir Kapoor captured chilling with Mahira Khan, guess the place? pic.twitter.com/UATpr41w9j",2017-09-21T19:48:01,bombaytimes,21/9/2017,19:48:01,0,0.099,0.901,-0.0258
53,Abeera,9.11E+17,0,1,0,Is she Mahira khan? https://twitter.com/kamaalrkhan/status/910945121280987136 …,2017-09-21T19:48:05,AbeeraMR_,21/9/2017,19:48:05,0,0,1,0
54,Jessie Bottcher,9.11E+17,0,0,0,Ranbir Kapoor And Mahira Khan CAUGHT TOGETHER In NYC And Their Pictures Are Going Viral - http://India.com http://ift.tt/2w9BuRU ,2017-09-21T19:48:15,JessieBottcher,21/9/2017,19:48:15,0,0,1,0
55,Apocalypse,9.11E+17,1,2,0,seriously defending mahira khan?,2017-09-21T19:48:27,itsmuqaddas_,21/9/2017,19:48:27,0,0.362,0.638,-0.1779
56,Ammad Paracha,9.11E+17,0,1,0,#mahirakhan @TheMahiraKhan  Sharma Se Mar Jao Pak Se Dafa ho jao shot dress oper cigrt tm jesi paki girls actors pak ko band karti,2017-09-21T19:48:39,Ammad_paracha1,21/9/2017,19:48:39,0,0,1,0
57,Harsh Pancholi,9.11E+17,0,1,0,What I'm hearing about is- #RanbirKapoor in relationship with his rumoured gf #MahiraKhan. If it's true thn what has happened to #Ranbir? ,2017-09-21T19:48:40,harshpancholi21,21/9/2017,19:48:40,0.118,0,0.882,0.4215
58,Shahid,9.11E+17,1,0,0,Mwra hw r u feeling now aftr seeing @TheMahiraKhan smoking in the streets of NYC with Rambir  kapoor(ur crush). ,2017-09-21T19:48:42,S_hidz,21/9/2017,19:48:42,0.086,0,0.914,0.128
59,ILovemyIndia,9.11E+17,1,0,2,"Mahira khan? Seriously?  Ranbir come on, u deserve better! After deepika & katrina u have come down to this lady,have some standards atleast",2017-09-21T19:48:46,ILuvIndiaI9,21/9/2017,19:48:46,0.153,0.073,0.774,0.4314
60,Siasi Ujala,9.11E+17,0,0,0,Mahira Khan and Ranbir Kapoor Smoking | Viral Pictures - Mahira Khan Backless http://fb.me/xIq0VqPU ,2017-09-21T19:48:46,SiasiUjala,21/9/2017,19:48:46,0,0,1,0
61,Ghareeb.,9.11E+17,0,0,0,"Mahira khan cigratte piye ya sex kry ranbir kapoor k sath..

Hmein kia lena dena?",2017-09-21T19:48:50,ghareebbra,21/9/2017,19:48:50,0,0.244,0.756,-0.6369
62,Google News Hindi,9.11E+17,0,1,0,"#RanbirKapoor #Ranbir #MahiraKhan #INDvAUS #DeepikaPadukone #PeaceDay 

Is she Ranbir Kapoor New Girlfriend???

https://youtu.be/N0TEK6buwVA pic.twitter.com/LmljGnHoev",2017-09-21T19:48:56,GoogleNewsHndi,21/9/2017,19:48:56,0,0,1,0
63,M,9.11E+17,9,1,0,"many people are criticising mahira khan but it's nice to see that some people still have brains, who're taking a stand",2017-09-21T19:48:59,martamz_,21/9/2017,19:48:59,0.157,0.079,0.764,0.431
64,Smarty Girl Warisha,9.11E+17,3,0,0,Good night  @TheMahiraKhan,2017-09-21T19:49:04,SmartyG99872260,21/9/2017,19:49:04,0.592,0,0.408,0.4404
65,-,9.11E+17,1,0,1,"""mahira khan from pakistan is very pretty"" @MawraHocane dont feel sad plshttps://twitter.com/Bollyhungama/status/883273380232740864 …",2017-09-21T19:49:13,imariamkhan_,21/9/2017,19:49:13,0.377,0,0.623,0.7225
66,Sesh♡,9.11E+17,11,1,1,"Badass babe @TheMahiraKhan!
#MahiraKhan #RanbirKapoorhttps://twitter.com/Popdiarieslive/status/910928876091588609 …",2017-09-21T19:49:18,Oh_My_Mascara,21/9/2017,19:49:18,0.402,0,0.598,0.4003
67,TOI Entertainment,9.11E+17,175,15,26,Bollywood actor #RanbirKapoor spotted chilling with @TheMahiraKhan pic.twitter.com/c0WygLJOPD,2017-09-21T19:49:32,TOIEntertain,21/9/2017,19:49:32,0,0.136,0.864,-0.0258
68,SRK s crazy Lover,9.11E+17,1,0,0,I don t like when a woman smokes at all. For me personally there is something especially vulgar n repulsive in it.,2017-09-21T19:49:53,Svetlana555_Bab,21/9/2017,19:49:53,0.128,0,0.872,0.3612
69,Abeera,9.11E+17,3,2,0,Mahira Khan fans beware a storm is coming.,2017-09-21T19:50:22,AbeeraMR_,21/9/2017,19:50:22,0,0,1,0
70,KMJ  🇵🇰,9.11E+17,0,0,0,"@TheMahiraKhan i just opened facebook and its flooded with you & ranbir pics. Ignore everyone, you’re lookin smokin!!",2017-09-21T19:50:23,iamkmj1,21/9/2017,19:50:23,0,0.171,0.829,-0.4738
71,Aaqib Aiman,9.11E+17,1,0,0,Smkng kills!!!,2017-09-21T19:50:30,iam_aaqib,21/9/2017,19:50:30,0,0.814,0.186,-0.6571
72,Abu Bakar,9.11E+17,0,0,0,@RanbirKapoorFC @TimesNow @TheMahiraKhan @geonews_english @ARYNEWSOFFICIALpic.twitter.com/6zMp0POBXK,2017-09-21T19:50:59,AbuBakar2419,21/9/2017,19:50:59,0,0,1,0
73,sanakhan4,9.11E+17,1,1,0,@ASRkiMoonlight Sona ,2017-09-21T19:51:01,sanakhan404,21/9/2017,19:51:01,0,0,1,0
74,sß,9.11E+17,0,0,0,"Loool ranbir kapoor & mahira khan, fuck & cig buddies. This should be interesting. pic.twitter.com/5gx2JmDB20",2017-09-21T19:51:21,heartUsrk,21/9/2017,19:51:21,0.157,0.203,0.64,-0.2023
75,KMJ  🇵🇰,9.11E+17,1,0,0,And she’s lookin so fuckin good!! I mean seriously!,2017-09-21T19:51:23,iamkmj1,21/9/2017,19:51:23,0.345,0.145,0.51,0.5194
76,sadiqa SHAIKH,9.11E+17,0,0,0,"I actually love 
#mahirakhan &#RanbirKapoor 
As couple !!",2017-09-21T19:51:37,SadeqaShaikh,21/9/2017,19:51:37,0.444,0,0.556,0.6988
77,Haseeb Raza Rana,9.11E+17,0,0,0,@TheMahiraKhan pic.twitter.com/Fv6XAkSCW6,2017-09-21T19:51:40,haseebraza136,21/9/2017,19:51:40,0,0,1,0
78,Haseeb Raza Rana,9.11E+17,0,0,0,@TheMahiraKhan pic.twitter.com/nYQTnLxTnn,2017-09-21T19:51:47,haseebraza136,21/9/2017,19:51:47,0,0,1,0
79,NourQan 🇵🇰,9.11E+17,0,0,0,@TheMahiraKhan es randi owrat ko dekh budhi ho k bi sudhar nh rehi pic.twitter.com/nxDVvJDPhb,2017-09-21T19:51:59,theNourQan,21/9/2017,19:51:59,0.211,0,0.789,0.4939
80,Haseeb Raza Rana,9.11E+17,0,0,0,@TheMahiraKhan pic.twitter.com/D6S8TzFQJR,2017-09-21T19:52:00,haseebraza136,21/9/2017,19:52:00,0,0,1,0
81,Zaid Ali,9.11E+17,0,0,0,My impression about mahira was very decent but these pics are telling different stories.,2017-09-21T19:52:05,ZhdPti,21/9/2017,19:52:05,0.1,0,0.9,0.1154
82,Manish Rock,9.11E+17,0,0,0,@TheMahiraKhan where are you???? ,2017-09-21T19:52:05,manishrock619,21/9/2017,19:52:05,0,0,1,0
83,فاطمہ,9.11E+17,4,0,1,Chalo jee sab molvi bn gaye ab #mahirakhan,2017-09-21T19:52:23,Eff__jai,21/9/2017,19:52:23,0,0,1,0
84,Vampire  🍇 🎸,9.11E+17,1,0,0,Mujy lgta hai ye edited face hai mahira khan nai hai yee,2017-09-21T19:52:32,jabhaikamkar,21/9/2017,19:52:32,0,0,1,0
85,maXes,9.11E+17,1,0,0,mahira khan ,2017-09-21T19:52:42,HORUS_PTI,21/9/2017,19:52:42,0,0,1,0
86,Sumbal,9.11E+17,1,0,0,Lmfao I love you Queen @TheMahiraKhan,2017-09-21T19:53:00,dessssiis,21/9/2017,19:53:00,0.72,0,0.28,0.8271
87,Ammara.,9.11E+17,1,0,0,"Chalo abh sab Mahira Khan ke peechay parjao 
Topic chye sabko bss",2017-09-21T19:53:10,SyedaaAmmara,21/9/2017,19:53:10,0,0,1,0
88,hammad,9.11E+17,1,1,0,So Mahira Khan is smoking big fucking woup,2017-09-21T19:53:18,mediocentroPK,21/9/2017,19:53:18,0,0,1,0
89,Partiksha Verma,9.11E+17,0,0,0,#NYC @TheMahiraKhan @zoom @pinkvilla @instantbolly #RanbirKapoor,2017-09-21T19:53:56,PartikshaV,21/9/2017,19:53:56,0,0,1,0
90,Haseeb 🌸,9.11E+17,0,1,0,Mahira Khan ne kya kardiya?,2017-09-21T19:54:17,notHadeeb,21/9/2017,19:54:17,0,0,1,0
91,maya.,9.11E+17,1,0,0,"@TheMahiraKhan you should keep ""Mah Lyf Mah Rulz"" as your bio now!",2017-09-21T19:54:19,mayalicious17,21/9/2017,19:54:19,0,0,1,0
92,Maryam Haider,9.11E+17,2,0,0,Mahira khan's mentions must be lit rn,2017-09-21T19:54:35,maryamhaiderr,21/9/2017,19:54:35,0,0,1,0
93,S.J,9.11E+17,0,0,0,u should've at least thought about u're son b4 going 4ward with such shenanigans like those in these pics.,2017-09-21T19:54:46,vmorghulis1860,21/9/2017,19:54:46,0.128,0,0.872,0.3612
94, 🥀,9.11E+17,24,1,2,mahira khan you doing great sweetie,2017-09-21T19:54:52,kaymblrr,21/9/2017,19:54:52,0.646,0,0.354,0.8074
95,Mariam Aman,9.11E+17,0,0,0,No so chilling. He is bored. Yawning. ,2017-09-21T19:55:09,MariamAmanS,21/9/2017,19:55:09,0,0.587,0.413,-0.5709
96,Maryam,9.11E+17,1,1,0,All this criticism. Meanwhile Mahira Khan remains relevant and unbothered pic.twitter.com/IPmHzoe6q9,2017-09-21T19:55:13,BefourMaryam,21/9/2017,19:55:13,0,0.225,0.775,-0.4404
97,Attaullah Khan_pti,9.11E+17,0,0,0,Allah khidayat di mahira khan ko Allah hum sab p raham Kare ameen,2017-09-21T19:55:21,Attaull00851508,21/9/2017,19:55:21,0,0,1,0
98,Meher  🏅,9.11E+17,3,2,1,"So i was right. Ranbir Mahira dating
Just look at the hickey on Mahiras back 
#RanbirKapoor #mahirakhan pic.twitter.com/aZm73nVMu0",2017-09-21T19:55:22,OfficialMeher,21/9/2017,19:55:22,0,0,1,0
99,-,9.11E+17,0,1,0,mahira khan is over-rated and female version of Ali zafar says the w@seem from shikarpur Pakistan cuz he is a vice kaptaan so why not.. https://twitter.com/ViceKaptan/status/910948453613805569 …,2017-09-21T19:55:30,imariamkhan_,21/9/2017,19:55:30,0,0,1,0
100,Mariam Aman,9.11E+17,1,0,0,Domrapan sehat ke liyee haani karak hosakta hai.,2017-09-21T19:55:48,MariamAmanS,21/9/2017,19:55:48,0,0,1,0
101,MIRZA STREAM,9.11E+17,0,0,0,Ranbir Kapoor and Mahira Khan's unseen smoking photos viral on internet: http://youtu.be/zV1XEEx1Ju0?a  via @YouTube,2017-09-21T19:55:52,SAANI3620,21/9/2017,19:55:52,0,0,1,0
102,No,9.11E+17,6,4,0,Mahira Khan Wala Kya scene Hai?,2017-09-21T19:56:14,Marobabez,21/9/2017,19:56:14,0,0,1,0
103,ایمن,9.11E+17,3,1,2,@TheMahiraKhan that time of the year...xx https://twitter.com/muftimenk/status/910786137765097472 …,2017-09-21T19:56:28,shaat_up,21/9/2017,19:56:28,0,0,1,0
104,®,9.11E+17,4,0,1,Jo attention chahye thi mahira khan ko vo usay dydi tm logon ny.,2017-09-21T19:56:56,_hikatlobye,21/9/2017,19:56:56,0,0,1,0
105,Birdie,9.11E+17,0,0,0,Aagg lagdi kuriyee @TheMahiraKhan ,2017-09-21T19:57:03,lahoridhol,21/9/2017,19:57:03,0,0,1,0
106, 🌼 🐝 🌼Nups 🌻 🐞 🌻,9.11E+17,0,0,0,What gives you the right to call her names?,2017-09-21T19:57:11,architypes12,21/9/2017,19:57:11,0,0,1,0
107,Mountain girl #MeToo,9.11E+17,1,1,0,"Mahira Khan, you are ",2017-09-21T19:57:20,SaimaKarim89,21/9/2017,19:57:20,0,0,1,0
108,regina,9.11E+17,15,0,0,Öndeki ben cnmlr  #MahiraKhan #RanbirKapoorpic.twitter.com/B1FMCAF8Yi,2017-09-21T19:57:27,alwaysfaweer,21/9/2017,19:57:27,0,0,1,0
109,Samy Says,9.11E+17,108,15,32,"Spotted Ranbir Kapoor and Mahira Khan while smoking outside a hotel in New York!
#RanbirKapoor #mahirakhan @ranbirrk @TheMahiraKhan pic.twitter.com/daaQ4i25SQ",2017-09-21T19:57:55,sagarsamy,21/9/2017,19:57:55,0,0,1,0
110,shahid Abbasi,9.11E+17,0,0,0,"@TheMahiraKhan 
Shame on you for exposing yourself in such a pathetic way pic.twitter.com/ZJlrlmfryE",2017-09-21T19:58:11,shahidA59286810,21/9/2017,19:58:11,0,0.497,0.503,-0.836
111,Sam¡,9.11E+17,3,0,1,"Give cigarette through into his ass BC.
This fatwa is not against MahiraKhan but against all us fucking smokers.",2017-09-21T19:58:32,sami_likes,21/9/2017,19:58:32,0,0.111,0.889,-0.3071
112,Shumail,9.11E+17,258,15,106,Assemble the protection squad for Mahira Khan against the haya brigade.,2017-09-21T19:58:34,Shumyl,21/9/2017,19:58:34,0,0,1,0
113,Hamza,9.11E+17,2,0,0,Ahhhhh @TheMahiraKhan you're about to break all Paki social sites  https://twitter.com/officialhanzala/status/910946445607473152 …,2017-09-21T19:58:49,iHamzahid,21/9/2017,19:58:49,0,0,1,0
114,Adi 🔥,9.11E+17,10,0,3,God Bless Mahira khan Now Pakistani and Indian twitter is about to go nuts.,2017-09-21T19:59:02,Desi_nigaa,21/9/2017,19:59:02,0.269,0.126,0.604,0.3818
115,Tariq Basheer,9.11E+17,1,0,0,Masha Allah good going,2017-09-21T19:59:12,tariqbee,21/9/2017,19:59:12,0.492,0,0.508,0.4404
116,Raees Tweets ®,9.11E+17,97,10,21,"Mahira hony wali hy Badnam 
But Ilove Mahira khan jan pic.twitter.com/37GbLrM4KQ",2017-09-21T19:59:19,LeMeRaees,21/9/2017,19:59:19,0,0,1,0
117,Maha Usman,9.11E+17,4,0,0,#mahirakhan & #RanbirKapoorpic.twitter.com/QcA65WurlU,2017-09-21T19:59:35,MahaUsman17,21/9/2017,19:59:35,0,0,1,0
118,Ibrar,9.11E+17,3,0,0,Enjoying comments under Mahira Khan's photos. Wbu?,2017-09-21T19:59:39,IbrarIbrahim,21/9/2017,19:59:39,0.362,0,0.638,0.5267
119,vk18,9.11E+17,0,0,0,Sutta mar rae,2017-09-21T19:59:41,harshilsareen1,21/9/2017,19:59:41,0,0,1,0
120,Punwadi,9.11E+17,1,0,0,"Did Ranbir Kapoor just confirm his relationship with Mahira Khan? 
http://bit.ly/2wD6wWs ",2017-09-21T20:00:05,punwadicom,21/9/2017,20:00:05,0,0,1,0
121,The Quint,9.11E+17,9,0,0,"#RanbirKapoor and #MahiraKhan were spotted chilling in New York.
https://www.thequint.com/entertainment/celebrities/ranbir-kapoor-mahira-khan-spotted-in-new-york …",2017-09-21T20:00:35,TheQuint,21/9/2017,20:00:35,0,0.109,0.891,-0.0258
122,Brashna Kasi,9.11E+17,24,9,4,Meanwhile Mahira Khan as RanDeep and RanKat fandoms fight over who Ranbir is dating. #thuglife pic.twitter.com/DjyeEZVx0W,2017-09-21T20:00:44,Brashnaa,21/9/2017,20:00:44,0,0.148,0.852,-0.3818
123,Always Wit The Truth,9.11E+17,0,2,0,Both #RanbirKapoor @TheMahiraKhan Made their Parents Proud Today  Waiting for their Excuses on Smoking like drug Addicts,2017-09-21T20:01:12,tutunusai,21/9/2017,20:01:12,0.272,0,0.728,0.6808
124,Reclaiming Me,9.11E+17,0,0,0,Mahira Khan is so hot,2017-09-21T20:01:40,rambling_on_,21/9/2017,20:01:40,0,0,1,0
125,regina,9.11E+17,16,0,0,Reis yakıyosuuun @TheMahiraKhan pic.twitter.com/7NK7ETfPzi,2017-09-21T20:01:41,alwaysfaweer,21/9/2017,20:01:41,0,0,1,0
